ID_Petani,Desa,Kelompok_Tani,Komoditas,Urea_MT1,NPK_MT1,Organik_MT1,Urea_MT2,NPK_MT2,Organik_MT2,Urea_MT3,NPK_MT3,Organik_MT3,Luas_Tanah_m2,Total_Urea,Total_NPK,Total_Organik,Total_Pupuk,Luas_Tanah_ha,Status_Urea,Status_NPK,Status_Organik,Jatah_Urea_Min,Jatah_Urea_Max,Jatah_NPK_Min,Jatah_NPK_Max,Jatah_Organik_Min,Jatah_Organik_Max,Final_Status,Urea_per_ha,NPK_per_ha,Organik_per_ha,Total_per_ha,Total_MT1,Total_MT2,Total_MT3,Urea_Label,Urea_Median,Urea_Lower_Bound,Urea_Upper_Bound,NPK_Label,NPK_Median,NPK_Lower_Bound,NPK_Upper_Bound,Organik_Label,Organik_Median,Organik_Lower_Bound,Organik_Upper_Bound,Overall_Status
P405,SIBARANI NASAMPULU/NAMUNGKUP,SUB SAROHA,PADI,75,90,0,75,90,0,0,0,0,6000,150,180,0,330,0.6,Normal,Normal,Normal,0.0,150.0,0.0,180.0,0.0,600.0,Normal,250.0,300.0,0.0,550.0,165,165,0,Normal,250.0,250.0,250.0,Normal,300.0,300.0,300.0,Normal,,,,Normal
P406,SIBARANI NASAMPULU/NAMUNGKUP,SUB SAROHA,PADI,120,144,0,120,144,0,0,0,0,9600,240,288,0,528,0.96,Normal,Normal,Normal,0.0,240.0,0.0,288.0,0.0,960.0,Normal,250.0,300.0,0.0,550.0,264,264,0,Normal,250.0,250.0,250.0,Normal,300.0,300.0,300.0,Normal,,,,Normal
P407,SIBARANI NASAMPULU/NAMUNGKUP,SUB SAROHA,PADI,160,192,0,0,0,0,160,192,0,12800,320,384,0,704,1.28,Normal,Normal,Normal,0.0,320.0,0.0,384.0,0.0,1280.0,Normal,250.0,300.0,0.0,550.0,352,0,352,Normal,250.0,250.0,250.0,Normal,300.0,300.0,300.0,Normal,,,,Normal
P408,SIBARANI NASAMPULU/NAMUNGKUP,SUB SAROHA,PADI,75,90,0,75,90,0,0,0,0,6000,150,180,0,330,0.6,Normal,Normal,Normal,0.0,150.0,0.0,180.0,0.0,600.0,Normal,250.0,300.0,0.0,550.0,165,165,0,Normal,250.0,250.0,250.0,Normal,300.0,300.0,300.0,Normal,,,,Normal
P409,SIBARANI NASAMPULU/NAMUNGKUP,SUB SAROHA,PADI,80,96,0,80,96,0,0,0,0,6400,160,192,0,352,0.64,Normal,Normal,Normal,0.0,160.0,0.0,192.0,0.0,640.0,Normal,250.0,300.0,0.0,550.0,176,176,0,Normal,250.0,250.0,250.0,Normal,300.0,300.0,300.0,Normal,,,,Normal
P410,SIBARANI NASAMPULU/NAMUNGKUP,SUB SAROHA,PADI,120,144,0,120,144,0,0,0,0,9600,240,288,0,528,0.96,Normal,Normal,Normal,0.0,240.0,0.0,288.0,0.0,960.0,Normal,250.0,300.0,0.0,550.0,264,264,0,Normal,250.0,250.0,250.0,Normal,300.0,300.0,300.0,Normal,,,,Normal
P411,SIBARANI NASAMPULU/NAMUNGKUP,SUB SAROHA,PADI,100,120,0,100,120,0,0,0,0,8000,200,240,0,440,0.8,Normal,Normal,Normal,0.0,200.0,0.0,240.0,0.0,800.0,Normal,250.0,300.0,0.0,550.0,220,220,0,Normal,250.0,250.0,250.0,Normal,300.0,300.0,300.0,Normal,,,,Normal
P412,SIBARANI NASAMPULU/NAMUNGKUP,SUB SAROHA,PADI,100,120,0,100,120,0,0,0,0,8000,200,240,0,440,0.8,Normal,Normal,Normal,0.0,200.0,0.0,240.0,0.0,800.0,Normal,250.0,300.0,0.0,550.0,220,220,0,Normal,250.0,250.0,250.0,Normal,300.0,300.0,300.0,Normal,,,,Normal
P413,SIBARANI NASAMPULU/NAMUNGKUP,SUB SAROHA,PADI,80,96,0,80,96,0,0,0,0,6400,160,192,0,352,0.64,Normal,Normal,Normal,0.0,160.0,0.0,192.0,0.0,640.0,Normal,250.0,300.0,0.0,550.0,176,176,0,Normal,250.0,250.0,250.0,Normal,300.0,300.0,300.0,Normal,,,,Normal
P414,SIBUEA,DOS ROHA,JAGUNG,0,0,0,40,56,0,0,0,0,1600,40,56,0,96,0.16,Normal,Normal,Normal,0.0,40.0,0.0,56.0,0.0,160.0,Normal,250.0,350.0,0.0,600.0,0,96,0,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal
P415,SIBUEA,DOS ROHA,JAGUNG,0,0,0,40,56,0,0,0,0,1600,40,56,0,96,0.16,Normal,Normal,Normal,0.0,40.0,0.0,56.0,0.0,160.0,Normal,250.0,350.0,0.0,600.0,0,96,0,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal
P416,SIBUEA,DOS ROHA,JAGUNG,0,0,0,40,56,0,0,0,0,1600,40,56,0,96,0.16,Normal,Normal,Normal,0.0,40.0,0.0,56.0,0.0,160.0,Normal,250.0,350.0,0.0,600.0,0,96,0,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal
P417,SIBUEA,DOS ROHA,JAGUNG,0,0,0,40,56,0,0,0,0,1600,40,56,0,96,0.16,Normal,Normal,Normal,0.0,40.0,0.0,56.0,0.0,160.0,Normal,250.0,350.0,0.0,600.0,0,96,0,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal
P418,SIBUEA,DOS ROHA,JAGUNG,0,0,0,40,56,0,0,0,0,1600,40,56,0,96,0.16,Normal,Normal,Normal,0.0,40.0,0.0,56.0,0.0,160.0,Normal,250.0,350.0,0.0,600.0,0,96,0,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal
P419,SIBUEA,DOS ROHA,JAGUNG,0,0,0,40,56,0,0,0,0,1600,40,56,0,96,0.16,Normal,Normal,Normal,0.0,40.0,0.0,56.0,0.0,160.0,Normal,250.0,350.0,0.0,600.0,0,96,0,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal
P420,SIBUEA,DOS ROHA,JAGUNG,0,0,0,40,56,0,0,0,0,1600,40,56,0,96,0.16,Normal,Normal,Normal,0.0,40.0,0.0,56.0,0.0,160.0,Normal,250.0,350.0,0.0,600.0,0,96,0,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal
P421,SIBUEA,DOS ROHA,JAGUNG,0,0,0,45,63,0,0,0,0,1800,45,63,0,108,0.18,Normal,Normal,Normal,0.0,45.0,0.0,63.0,0.0,180.0,Normal,250.0,350.0,0.0,600.0,0,108,0,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal
P422,SIBUEA,DOS ROHA,JAGUNG,0,0,0,40,56,0,0,0,0,1600,40,56,0,96,0.16,Normal,Normal,Normal,0.0,40.0,0.0,56.0,0.0,160.0,Normal,250.0,350.0,0.0,600.0,0,96,0,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal
P423,SIBUEA,DOS ROHA,JAGUNG,0,0,0,40,56,0,0,0,0,1600,40,56,0,96,0.16,Normal,Normal,Normal,0.0,40.0,0.0,56.0,0.0,160.0,Normal,250.0,350.0,0.0,600.0,0,96,0,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal
P424,SIBUEA,DOS ROHA,JAGUNG,0,0,0,40,56,0,0,0,0,1600,40,56,0,96,0.16,Normal,Normal,Normal,0.0,40.0,0.0,56.0,0.0,160.0,Normal,250.0,350.0,0.0,600.0,0,96,0,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal
P425,SIBUEA,DOS ROHA,JAGUNG,0,0,0,40,56,0,0,0,0,1600,40,56,0,96,0.16,Normal,Normal,Normal,0.0,40.0,0.0,56.0,0.0,160.0,Normal,250.0,350.0,0.0,600.0,0,96,0,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal
P426,SIBUEA,DOS ROHA,JAGUNG,0,0,0,40,56,0,0,0,0,1600,40,56,0,96,0.16,Normal,Normal,Normal,0.0,40.0,0.0,56.0,0.0,160.0,Normal,250.0,350.0,0.0,600.0,0,96,0,Normal,250.0,250.0,250.0,Normal,350.0,350.0,350.0,Normal,,,,Normal
