ID_Petani,Desa,Kelompok_Tani,Komoditas,Urea_MT1,NPK_MT1,Organik_MT1,Urea_MT2,NPK_MT2,Organik_MT2,Urea_MT3,NPK_MT3,Organik_MT3,Luas_Tanah_m2,Total_Urea,Total_NPK,Total_Organik,Total_Pupuk,Luas_Tanah_ha,Status_Urea,Status_NPK,Status_Organik,Jatah_Urea_Min,Jatah_Urea_Max,Jatah_NPK_Min,Jatah_NPK_Max,Jatah_Organik_Min,Jatah_Organik_Max,Final_Status
P1853,PATANE II,SAURDOT,PADI,250,300,1000,0,0,0,0,0,0,10000,250,300,1000,1550,1.0,Normal,Normal,Normal,0.0,250.0,0.0,300.0,0.0,1000.0,Normal
P1854,PATANE II,SAURDOT,PADI,250,300,1000,0,0,0,0,0,0,10000,250,300,1000,1550,1.0,Normal,Normal,Normal,0.0,250.0,0.0,300.0,0.0,1000.0,Normal
P1855,PATANE II,SAURDOT,PADI,250,300,1000,0,0,0,0,0,0,10000,250,300,1000,1550,1.0,Normal,Normal,Normal,0.0,250.0,0.0,300.0,0.0,1000.0,Normal
P1856,PATANE II,SAURDOT,PADI,125,150,500,0,0,0,0,0,0,5000,125,150,500,775,0.5,Normal,Normal,Normal,0.0,125.0,0.0,150.0,0.0,500.0,Normal
P1857,PATANE II,SAURDOT,PADI,250,300,1000,0,0,0,0,0,0,10000,250,300,1000,1550,1.0,Normal,Normal,Normal,0.0,250.0,0.0,300.0,0.0,1000.0,Normal
P1858,PATANE II,SAURDOT,PADI,125,150,500,0,0,0,0,0,0,5000,125,150,500,775,0.5,Normal,Normal,Normal,0.0,125.0,0.0,150.0,0.0,500.0,Normal
P1859,PATANE II,SAURDOT,PADI,250,300,1000,0,0,0,0,0,0,10000,250,300,1000,1550,1.0,Normal,Normal,Normal,0.0,250.0,0.0,300.0,0.0,1000.0,Normal
P1860,PATANE II,SAURDOT,PADI,250,300,1000,0,0,0,0,0,0,10000,250,300,1000,1550,1.0,Normal,Normal,Normal,0.0,250.0,0.0,300.0,0.0,1000.0,Normal
P1861,PATANE II,SAURDOT,PADI,250,300,1000,0,0,0,0,0,0,10000,250,300,1000,1550,1.0,Normal,Normal,Normal,0.0,250.0,0.0,300.0,0.0,1000.0,Normal
P1862,PATANE II,SAURDOT,PADI,250,300,1000,0,0,0,0,0,0,10000,250,300,1000,1550,1.0,Normal,Normal,Normal,0.0,250.0,0.0,300.0,0.0,1000.0,Normal
P1863,PATANE II,SAURDOT,PADI,125,150,500,0,0,0,0,0,0,5000,125,150,500,775,0.5,Normal,Normal,Normal,0.0,125.0,0.0,150.0,0.0,500.0,Normal
