ID_Petani,Desa,Kelompok_Tani,Komoditas,Luas_Tanah_ha,Final_Status,Prioritas,Rekomendasi,Action_Plan
P039,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,0.24,Normal,Rendah,🎯 Cluster 8,Tidak ada tindakan diperlukan
P040,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,0.32,Normal,Rendah,🎯 Cluster 8,Tidak ada tindakan diperlukan
P041,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,0.32,Normal,Rendah,🎯 Cluster 8,Tidak ada tindakan diperlukan
P042,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,0.56,Normal,Rendah,🎯 Cluster 8,Tidak ada tindakan diperlukan
P043,SIBARANI NASAMPULU/NAMUNGKUP,DOS ROHA,PADI,0.4,Normal,Rendah,🎯 Cluster 8,Tidak ada tindakan diperlukan
P044,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,1.92,Normal,Rendah,🎯 Cluster 6,Tidak ada tindakan diperlukan
P045,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,1.2,Normal,Rendah,🎯 Cluster 2,Tidak ada tindakan diperlukan
P046,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,0.6,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P047,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,1.2,Normal,Rendah,🎯 Cluster 2,Tidak ada tindakan diperlukan
P048,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,0.6,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P049,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,0.48,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P050,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,0.96,Normal,Rendah,🎯 Cluster 2,Tidak ada tindakan diperlukan
P051,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,1.8,Normal,Rendah,🎯 Cluster 6,Tidak ada tindakan diperlukan
P052,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,0.6,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P053,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,0.96,Normal,Rendah,🎯 Cluster 2,Tidak ada tindakan diperlukan
P054,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,1.98,Normal,Rendah,🎯 Cluster 6,Tidak ada tindakan diperlukan
P055,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,0.24,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
P056,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,0.72,Normal,Rendah,🎯 Cluster 2,Tidak ada tindakan diperlukan
P057,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,0.84,Normal,Rendah,🎯 Cluster 2,Tidak ada tindakan diperlukan
P058,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,1.92,Normal,Rendah,🎯 Cluster 6,Tidak ada tindakan diperlukan
P059,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,1.08,Normal,Rendah,🎯 Cluster 2,Tidak ada tindakan diperlukan
P060,SIBARANI NASAMPULU/NAMUNGKUP,LANBOW NAULI,JAGUNG,0.48,Normal,Rendah,🎯 Cluster 0,Tidak ada tindakan diperlukan
